baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00022570-RA	8.6009586126053	-7.10051652906823	1.3305292985388	-4.89693578053758	9.7342632756262e-07	4.54405479633757e-05
Sm_t00009781-RA	14.9197541952155	-6.72415046987558	1.14401037451166	-5.36634160550877	8.0349697665972e-08	4.74647577666805e-06
Sm_t00000380-RA	88.2049843397942	-6.6872908012684	0.819030386936363	-7.45062808242613	9.28969026615739e-14	1.39732424420117e-11
Sm_t00008831-RA	146.300134146092	-6.22286368375658	0.66987959275363	-8.41623441696646	3.88778973903134e-17	1.00249435413594e-14
Sm_t00001771-RA	191.603416757438	-6.21886168543842	0.413264646670328	-13.6325759554572	2.5636871294747e-42	3.20362287833204e-39
Sm_t00006478-RA	45.1045631928469	-5.76982752123247	0.541947437981556	-9.5670302281398	1.1002054577486e-21	4.28319721223628e-19
Sm_t00000576-RA	114.952591016953	-5.54942327489847	0.340494990017754	-14.580018562504	3.76414359872682e-48	6.79427919570191e-45
Sm_t00001748-RA	1255.39015631345	-5.45484910318196	0.409471523498485	-11.8930104383681	1.2868314652894e-32	1.04522885768132e-29
Sm_t00003108-RA	125.618685997915	-5.18810241016322	0.665983461193108	-6.91173681988555	4.7875545691367e-12	5.5952391349371e-10
Sm_t00016659-RA	5.28344971910726	-4.99676477192386	1.48168009514117	-2.97754203919674	0.00290569792832817	0.0472469642227222
Sm_t00016386-RA	20.7255071301625	-4.98967287208711	1.32835672761015	-3.315881028443	0.000913547108549379	0.017360543307629
Sm_t00007037-RA	9.76251708806685	-4.91403130585121	0.939060470977193	-4.60996010336416	4.02746253503725e-06	0.000161945863568515
Sm_t00011733-RA	749.859479744088	-4.76900287672552	0.197185014999645	-21.2186655093088	6.42209782010838e-100	1.04326979087661e-95
Sm_t00020491-RA	85.5212682076565	-4.73319521163322	0.445525753676446	-9.31078658731312	1.26889110941292e-20	4.58069690498063e-18
Sm_t00007486-RA	340.577445949653	-4.69769294518817	0.19418595892853	-21.1791468748873	1.48701021375183e-99	1.20782404611992e-95
Sm_t00006755-RA	1580.44985588313	-4.46494680990831	0.216089487845388	-17.9552779202495	4.36391905333106e-72	2.36306216737877e-68
Sm_t00022457-RA	659.143899102702	-4.40279493995029	0.241470892086267	-15.8105803435155	2.63032635882216e-56	8.54593033981319e-53
Sm_t00016355-RA	30.3873667490361	-4.38960939491354	0.480821033183261	-7.91273495197421	2.51795058376002e-15	4.75629153874204e-13
Sm_t00012269-RA	828.491575963341	-4.33090184378578	0.264224160941359	-14.1769845363125	1.27195831072176e-45	1.87845115978863e-42
Sm_t00001747-RA	221.326047989229	-4.01825068291572	0.35910470885998	-9.56058385815931	1.17094232063886e-21	4.42371116250659e-19
