baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00005069-RA	92.00238137893	-11.325067369339	1.20227056326365	-8.93315339950132	4.14034969480889e-19	3.11080151446253e-18
Sm_t00015501-RA	146.01058535719	-11.2091928211761	1.19535376117721	-8.88790679899919	6.22708801088222e-19	4.63867657717112e-18
Sm_t00015502-RA	94.771250448777	-10.6644988479503	1.20176987342742	-8.38721212007397	4.97806300837919e-17	3.42063748900117e-16
Sm_t00022507-RA	48.266556547292	-10.5667136307358	1.2226469128958	-8.16401982081194	3.24055695512199e-16	2.1543461908309e-15
Sm_t00016639-RA	69.1124856378511	-10.0598635214626	1.39290254332892	-6.80224439738509	1.03001662516767e-11	5.41036316713783e-11
Sm_t00007145-RA	40.0938769235776	-10.0325324511542	1.22053989375399	-7.74045362998877	9.90627276355541e-15	6.14441111470694e-14
Sm_t00012734-RA	29.6488923098363	-9.84908697783927	2.18611769399922	-4.2376890335176	2.2583225892429e-05	7.58281928171608e-05
Sm_t00016391-RA	29.5990640954065	-9.81166562115784	1.81635574356733	-5.07976791101321	3.77896251833558e-07	1.48531606266348e-06
Sm_t00008386-RA	52.1525573106165	-9.69453284144123	1.8984180944385	-4.79848610173282	1.59869399125137e-06	5.93314591242414e-06
Sm_t00010673-RA	307.390600569819	-9.53828073466616	0.57386821898279	-15.6016319400581	7.09568412841291e-55	1.66271851422089e-53
Sm_t00017876-RA	236.652556791401	-9.53452095054899	0.619080890447605	-14.4561414972417	2.29296553519713e-47	4.36638620938055e-46
Sm_t00016386-RA	20.7255071301625	-9.47836716286961	1.27104465094512	-6.99689594402265	2.61695495049567e-12	1.42147844802826e-11
Sm_t00008556-RA	46.3466578970206	-9.45594124810982	1.22335458730019	-7.25132462836227	4.12715160363021e-13	2.34400139243544e-12
Sm_t00008784-RA	19.7510976719967	-9.39296807117121	1.25809620093367	-7.00102906648521	2.54089217378876e-12	1.38152151766191e-11
Sm_t00013366-RA	23.8330017438856	-9.37660261899897	1.25534211034279	-7.00335195208127	2.49909976137647e-12	1.35924444342495e-11
Sm_t00008993-RA	21.1333906955321	-9.35794427157603	1.25815479998087	-6.97286555812484	3.10549372949945e-12	1.67968379420886e-11
Sm_t00009812-RA	336.45039711058	-9.34834376131036	1.3546467279512	-6.46909897650161	9.85890065251871e-11	4.89165639743269e-10
Sm_t00006432-RA	101.200591521384	-9.32934762794188	1.31549943324364	-6.64716943767952	2.98783018191981e-11	1.5207183601802e-10
Sm_t00020188-RA	22.4198559780915	-9.25862376917389	1.25410221628238	-6.91620161144894	4.63914051796012e-12	2.47924648261437e-11
Sm_t00015706-RA	38.5821514402413	-9.14495705011999	1.22961886829133	-6.96147177866168	3.36736022711837e-12	1.81776008089508e-11
Sm_t00008781-RA	185.082027467905	-9.13398977040339	0.623199854354219	-13.7178943651425	7.93361163579931e-43	1.31963999970168e-41
Sm_t00005136-RA	572.676576535073	-9.08419589943526	0.38246083657228	-22.2223953061636	2.08640359514366e-109	1.50284558090196e-107
Sm_t00011845-RA	33.6237985065521	-9.08229835112049	1.23545812206381	-6.87785219051041	6.07616652246105e-12	3.23366048113114e-11
Sm_t00011837-RA	18.0785903732594	-9.07862308223191	1.29088963600464	-6.57966633655842	4.71505163557535e-11	2.3779074717375e-10
Sm_t00005255-RA	231.188920355594	-9.06605470575614	0.976243633462873	-8.68743663471858	3.7070906780246e-18	2.68893919714683e-17
Sm_t00005366-RA	65.8747741579484	-8.98390849771941	1.0569950876242	-7.94602415475516	1.9259288708901e-15	1.23574220000141e-14
Sm_t00003984-RA	562.647645648432	-8.97902599201127	0.536201344478107	-15.6546157119045	3.08973926300969e-55	7.32299146928205e-54
Sm_t00005775-RA	82.7891045052552	-8.96722771178074	0.870503495816743	-9.62917179777225	6.02128130198411e-22	5.04320360616637e-21
Sm_t00007681-RA	165.956539100839	-8.96476524284458	0.813854385392018	-10.2963937938458	7.31523997133114e-25	6.84311578797532e-24
Sm_t00015480-RA	12.9650373259969	-8.85180093329752	1.30702187451715	-6.32491398535431	2.53373680365037e-10	1.22594677646249e-09
Sm_t00008831-RA	146.300134146092	-8.84696937330253	0.665421328411284	-12.4161475151815	2.13602096719543e-35	2.92216840326397e-34
Sm_t00004660-RA	71.5421414291312	-8.8189634943546	0.876649397141971	-9.39253882019283	5.85711101211343e-21	4.73109498477246e-20
Sm_t00011095-RA	35.4602344382146	-8.78525593713605	1.25472585523084	-6.53549610295341	6.33990330727663e-11	3.17512630264969e-10
Sm_t00007672-RA	515.777731664017	-8.74986198905165	0.364970567941451	-22.371288827765	7.49402064013059e-111	5.66910684680564e-109
Sm_t00001550-RA	50.8789392428669	-8.70547644246746	1.35560216288631	-5.99030944681997	2.09442142266402e-09	9.54035735751299e-09
Sm_t00018521-RA	12.9890202445695	-8.70140652333569	1.88277374248802	-4.31087726590565	1.62608145656314e-05	5.53168203098185e-05
Sm_t00004452-RA	90.7065167526885	-8.69353712228418	0.761206568142615	-10.6522164437827	1.70262093637538e-26	1.69839559664853e-25
Sm_t00012491-RA	57.5100094187017	-8.64493163478312	1.06983007960275	-7.53384279284418	4.92684384406854e-14	2.94031058950589e-13
Sm_t00000685-RA	12.2320392963993	-8.58607213238074	1.3160405008919	-6.07965493991887	1.20441451565284e-09	5.58609610325326e-09
Sm_t00013402-RA	226.029515371591	-8.55525250536785	0.495487751559502	-16.0856700902943	3.21554219964052e-58	8.22097031195132e-57
Sm_t00004106-RA	21.8362713202709	-8.55362870741324	1.73352491906241	-4.59677770984863	4.29074958064792e-06	1.5326616710348e-05
Sm_t00005126-RA	312.318616854745	-8.55161179067233	0.426671925954793	-18.6715162307548	8.44217041409029e-78	3.50529917920386e-76
Sm_t00016364-RA	171.935678688645	-8.53513148379389	0.545254453399374	-14.580589730591	3.73278182529971e-48	7.19081354648144e-47
Sm_t00019142-RA	126.028951710284	-8.53125548888315	0.821109894210529	-9.67745675080827	3.7595164517875e-22	3.17937259095271e-21
Sm_t00015529-RA	10.9082452532656	-8.53067799567292	1.32932844611259	-5.97721204184623	2.26988667633008e-09	1.03282649180885e-08
Sm_t00017084-RA	239.839671270788	-8.49946720402555	0.450476021381654	-17.5691198385013	4.24710456634358e-69	1.43303017007361e-67
Sm_t00006416-RA	111.386030144107	-8.47178737586637	0.680773296089505	-11.5850422176804	4.90724774575962e-31	5.71316749149681e-30
Sm_t00019156-RA	856.660698880109	-8.42046351251141	0.268772306741686	-29.1527933346272	7.69997828709548e-187	2.71416043153853e-184
Sm_t00021039-RA	63.298561077794	-8.39656112961548	2.80708404896028	-2.78280272103317	0.00538915639879293	0.0138400486837393
Sm_t00005139-RA	292.787447195109	-8.3948572789977	0.419014440139296	-18.6386351658941	1.56174797107949e-77	6.40432639526582e-76
Sm_t00004446-RA	63.8686619483812	-8.390870363623	0.777516915919455	-10.0394862205566	1.02205100401981e-23	9.22742178942574e-23
Sm_t00003251-RA	95.7675779645783	-8.388605229336	1.38331814797048	-5.64122233253788	1.68847162426912e-08	7.26003358402972e-08
Sm_t00011757-RA	257.933514812586	-8.34047877463319	0.441067409860217	-17.5834319227781	3.29984413217451e-69	1.11796559790869e-67
Sm_t00012628-RA	17.4217519847702	-8.33123421661126	1.26854606828339	-6.10638778542234	1.0191122767055e-09	4.74259356409553e-09
Sm_t00014045-RA	64.591636569561	-8.32661803362934	0.870539272573708	-8.89289923789608	5.95347955532191e-19	4.44485334804047e-18
Sm_t00003150-RA	11.9839810112743	-8.32431799511162	1.35153731877124	-5.72630728550496	1.02640235856839e-08	4.49020540649658e-08
Sm_t00005770-RA	21.1319678116852	-8.31697497260804	1.26726505733832	-6.10130842623228	1.05203679840171e-09	4.89031808056148e-09
Sm_t00014311-RA	223.446518561688	-8.30069721162217	0.460834148828833	-16.7428937964578	6.38092596533189e-63	1.85461053452024e-61
Sm_t00007606-RA	249.726313549107	-8.29778757342221	0.421658199886146	-18.2915631084722	9.66048085324728e-75	3.7306570232109e-73
Sm_t00009878-RA	19.4288902865543	-8.28955073454975	1.27491851490792	-6.04317110815994	1.51114242437613e-09	6.95226230064964e-09
Sm_t00016389-RA	128.141148957869	-8.28865646438609	0.630199257360319	-12.2241598580328	2.30957083132104e-34	3.02950593527282e-33
Sm_t00016479-RA	57.7703626019212	-8.24533620976472	1.17763568026802	-6.50484384781996	7.7774125450022e-11	3.87630546429156e-10
Sm_t00016647-RA	32.2017735135128	-8.24140032277962	1.08927414045205	-7.0289012090218	2.08166294724454e-12	1.13705605166503e-11
Sm_t00012494-RA	321.552047821793	-8.24068968175555	0.394029334952276	-19.429237883222	4.36799169592654e-84	1.98258954592918e-82
Sm_t00018495-RA	458.848240792542	-8.20145876437378	0.312022203175983	-24.4099896957591	1.33963018727601e-131	1.60823574728997e-129
Sm_t00014125-RA	226.120911020387	-8.17771398166452	0.427466902709565	-17.7621096125499	1.38913851734179e-70	4.9280209457819e-69
Sm_t00000218-RA	849.610798222246	-8.16642611014932	0.319426915877914	-23.734462355223	1.58996669260581e-124	1.60615720709758e-122
Sm_t00003807-RA	13.6449798082547	-8.16457031909188	1.9252977775528	-3.93683013997248	8.25650053872025e-05	0.000262292319127475
Sm_t00008364-RA	34.4744182531708	-8.15757416653071	1.10548409601929	-6.85000733506578	7.38462020116747e-12	3.90990741044236e-11
Sm_t00014117-RA	110.57925300345	-8.13724204923308	0.720922542117238	-10.4758023338448	1.11587317236599e-25	1.0773118208967e-24
Sm_t00011988-RA	94.1020038711008	-8.12915524981915	0.698059788735265	-10.8073196186928	3.17820960664419e-27	3.24440066161167e-26
Sm_t00002716-RA	98.3233505147607	-8.10897393672088	0.900747042323883	-8.35303762675634	6.65294452410653e-17	4.54887874250404e-16
Sm_t00005157-RA	348.907918933265	-8.10700934083433	0.525096558968623	-14.3250021588578	1.52723348112161e-46	2.86218066535541e-45
Sm_t00016616-RA	16.6937649635067	-8.10033551631614	1.28775419445481	-5.8360015821947	5.34683881454763e-09	2.38249270146882e-08
Sm_t00002728-RA	80.5167677346758	-8.09849096366897	1.14520416399215	-6.56083098534778	5.35087428406407e-11	2.68956111238136e-10
Sm_t00008228-RA	80.7672739456528	-8.08517862697776	0.700606417364077	-10.7052668104241	9.61532716553047e-27	9.71323933849655e-26
Sm_t00013367-RA	211.535219444592	-8.08004452097315	0.762476475201198	-9.82986985794597	8.37269027107138e-23	7.26993499585113e-22
Sm_t00010540-RA	76.782209873539	-8.07957039124166	0.756041703743017	-9.91290606607741	3.65847055258761e-23	3.22908266620772e-22
Sm_t00014912-RA	421.341127906767	-8.06580934862764	0.316966981460668	-23.60122595153	3.74400514484111e-123	3.75920807482319e-121
Sm_t00002171-RA	1015.46036009061	-8.04088755237654	0.406073779033591	-18.3609184767376	2.70001671971352e-75	1.05498058951636e-73
Sm_t00014441-RA	7.93896351313585	-8.02968717311572	2.49988400194314	-2.97801304673698	0.00290123634693665	0.00770886648912583
Sm_t00014245-RA	111.545224121748	-8.02539669601978	0.590677657490189	-12.596374014948	2.21076307862934e-36	3.09338783138955e-35
Sm_t00018097-RA	391.46534142855	-8.0158544236647	0.354104241026666	-20.9849348376065	9.00463836779587e-98	5.25281140279134e-96
Sm_t00022149-RA	6.91189204632497	-8.00792751877469	1.46041039270644	-5.08276821080304	3.71973517786203e-07	1.46273089702446e-06
Sm_t00011624-RA	417.393526073211	-8.00142753247942	0.558772715119066	-13.2727087987807	3.33310688134249e-40	5.20939450030199e-39
Sm_t00000220-RA	29.7475594006092	-7.97692578319577	1.19214207030489	-6.20054099869599	5.62693989381021e-10	2.66119078563385e-09
Sm_t00007641-RA	92.2942501461989	-7.95876929736113	0.632021823235667	-11.666953618169	1.88036611761881e-31	2.23472205671384e-30
Sm_t00014946-RA	367.574931777841	-7.94824363877552	0.350785306967474	-20.9907413238898	7.96931711655588e-98	4.66528892826789e-96
Sm_t00016365-RA	7.35385770133892	-7.91947991943746	2.39122327495249	-3.06725013772844	0.00216037990100878	0.00582062348674784
Sm_t00007605-RA	16.8792219617429	-7.91304134969325	1.27651175258626	-5.74067675824086	9.42989355096833e-09	4.13512563416867e-08
Sm_t00000227-RA	605.881748269925	-7.91292525283034	0.602359377142525	-12.1653709245676	4.75281491785514e-34	6.15636315434762e-33
Sm_t00006111-RA	68.2051495244924	-7.90742190164945	0.713293562413272	-10.2656497794199	1.00641138359415e-24	9.38278975351961e-24
Sm_t00003659-RA	1444.43948374034	-7.90695312780395	0.25149740767792	-29.1134337940405	2.42697649309637e-186	8.37660824190159e-184
Sm_t00002301-RA	14.511764747836	-7.87580765091952	1.28807405244775	-5.66023951578299	1.51161870995296e-08	6.52331002026326e-08
Sm_t00004753-RA	55.7275203322135	-7.86628536450316	0.796523611485261	-9.14133022488297	6.16887864812802e-20	4.80036695930187e-19
Sm_t00021554-RA	6.60985813477532	-7.8515129461285	1.44624138787456	-5.02441225030048	5.04976618488482e-07	1.96614515593388e-06
Sm_t00011731-RA	623.728476068667	-7.84190737366296	0.325702527208721	-22.2807831300998	5.67568660114313e-110	4.1422510978475e-108
Sm_t00001739-RA	8.52903053438582	-7.84040442619042	1.42013274781168	-5.10896212862529	3.23933268106592e-07	1.27806679036007e-06
Sm_t00004449-RA	179.201937355174	-7.82383840507449	0.408418444123215	-17.7240732127431	2.73381323916902e-70	9.59556862993924e-69
Sm_t00000124-RA	82.8178406485966	-7.82256343805225	0.657562516395217	-11.0066545120742	3.5494006000994e-28	3.76218296492941e-27
Sm_t00002839-RA	25.5990951666642	-7.81235177564962	1.10287102590725	-6.55321574859965	5.63110675121441e-11	2.82698622870815e-10
Sm_t00013009-RA	49.4725841249002	-7.80719530254455	1.73525602800287	-4.16203441221102	3.15424801790941e-05	0.000104262623528941
Sm_t00016622-RA	7.09963765920842	-7.80144605812484	1.59063701278696	-4.53682769865947	5.71067252268853e-06	2.02155366844831e-05
Sm_t00004553-RA	31.028018212587	-7.79186809586645	0.993939021530352	-7.25081513025834	4.14270811158501e-13	2.3520303387467e-12
Sm_t00014787-RA	7.75621077761754	-7.76600648867748	1.43507190906943	-5.00393495496262	5.61717174545445e-07	2.17734404087375e-06
Sm_t00013132-RA	16.2727848843813	-7.76273817237211	1.31432933795472	-5.46114125668202	4.73083428653279e-08	1.97918514204517e-07
Sm_t00011123-RA	59.5200364650097	-7.75515294720189	0.784010298183193	-9.14548311905784	5.93639205420015e-20	4.62162627640667e-19
Sm_t00022568-RA	15.5098716709038	-7.74837798714495	1.87226833879965	-3.82604236726961	0.000130219887751533	0.000404832591551821
Sm_t00004442-RA	64.4915289918512	-7.74752873109047	0.656962650967038	-10.9024899977911	1.12145610474058e-27	1.15830195057588e-26
Sm_t00014874-RA	66.8953100221804	-7.74703814745634	0.738869490087063	-9.69323844541533	3.22148595290878e-22	2.73694142470973e-21
